timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T22:05:43.0334705Z,52a6f56b69db,65.47%,546.4MiB / 7.669GiB,6.96%,22.2MB / 191kB,0B / 44.3MB
2026-09-07T22:05:43.0334705Z,b70629ac2384,1.84%,25.08MiB / 7.669GiB,0.32%,1.29kB / 126B,0B / 3.37MB
2026-09-07T22:05:43.0334705Z,148e0df0f1ec,27.86%,426MiB / 7.669GiB,5.42%,22MB / 22.2MB,0B / 66MB
2026-09-07T22:05:43.0334705Z,6ed2d36740fc,0.02%,48.19MiB / 7.669GiB,0.61%,13.8kB / 12.8kB,0B / 57.7MB
2026-09-07T22:05:43.0334705Z,9097845becb9,40.77%,312.8MiB / 7.669GiB,3.98%,45.2kB / 83.4kB,0B / 1.19MB
2026-09-07T22:05:56.0038388Z,52a6f56b69db,3.69%,546.5MiB / 7.669GiB,6.96%,22.3MB / 221kB,0B / 44.3MB
2026-09-07T22:05:56.0038388Z,b70629ac2384,0.05%,25.46MiB / 7.669GiB,0.32%,1.29kB / 126B,0B / 5.28MB
2026-09-07T22:05:56.0038388Z,148e0df0f1ec,1.41%,431.3MiB / 7.669GiB,5.49%,22MB / 22.2MB,0B / 66MB
2026-09-07T22:05:56.0038388Z,6ed2d36740fc,0.04%,48.48MiB / 7.669GiB,0.62%,13.8kB / 12.8kB,0B / 57.7MB
2026-09-07T22:05:56.0038388Z,9097845becb9,148.96%,367.5MiB / 7.669GiB,4.68%,54.8kB / 94.4kB,0B / 1.31MB
2026-09-07T22:06:31.2597592Z,52a6f56b69db,2.56%,553.9MiB / 7.669GiB,7.05%,22.3MB / 364kB,0B / 44.3MB
2026-09-07T22:06:31.2597592Z,b70629ac2384,1.64%,25.63MiB / 7.669GiB,0.33%,1.29kB / 126B,0B / 7.06MB
2026-09-07T22:06:31.2597592Z,148e0df0f1ec,10.65%,477.5MiB / 7.669GiB,6.08%,22.1MB / 22.3MB,0B / 66.1MB
2026-09-07T22:06:31.2597592Z,6ed2d36740fc,0.05%,48.32MiB / 7.669GiB,0.62%,13.8kB / 12.8kB,0B / 58.3MB
