timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T21:22:28.1888819Z,f90de3263675,173.20%,68.5MiB / 7.669GiB,0.87%,914B / 126B,160kB / 98.3kB
2026-09-07T21:22:28.1888819Z,f0ca9beaee79,1.92%,401.1MiB / 7.669GiB,5.11%,10.3kB / 21.5kB,11.7MB / 22.6MB
2026-09-07T21:22:28.1888819Z,7015ccbd4117,0.14%,58.81MiB / 7.669GiB,0.75%,24.6kB / 4.8kB,194MB / 23.5MB
2026-09-07T21:22:28.1888819Z,780cf24df99c,14.26%,363.1MiB / 7.669GiB,4.62%,24.2kB / 8.7kB,148MB / 22.4MB
2026-09-07T21:22:28.1888819Z,d6e0c9f9bb0e,2.07%,66.43MiB / 7.669GiB,0.85%,7.73kB / 1.23kB,69.7MB / 57.2MB
2026-09-07T21:22:28.1888819Z,4c260e843873,2.79%,324.9MiB / 7.669GiB,4.14%,25.7kB / 56.3kB,167MB / 893kB
2026-09-07T21:22:45.1026514Z,f0ca9beaee79,108.03%,550.1MiB / 7.669GiB,7.01%,22.2MB / 115kB,20.4MB / 44.3MB
2026-09-07T21:22:45.1026514Z,7015ccbd4117,0.18%,59.11MiB / 7.669GiB,0.75%,25.1kB / 5.06kB,194MB / 23.5MB
2026-09-07T21:22:45.1026514Z,780cf24df99c,2.47%,494.9MiB / 7.669GiB,6.30%,21.9MB / 22.2MB,148MB / 66MB
2026-09-07T21:22:45.1026514Z,d6e0c9f9bb0e,5.66%,74.22MiB / 7.669GiB,0.95%,13.9kB / 7.73kB,69.7MB / 57.8MB
2026-09-07T21:22:45.1026514Z,4c260e843873,17.98%,331.8MiB / 7.669GiB,4.23%,26.9kB / 58.1kB,167MB / 1.02MB
2026-09-07T21:23:00.9782865Z,f0ca9beaee79,6.98%,553.5MiB / 7.669GiB,7.05%,22.2MB / 140kB,20.4MB / 44.3MB
2026-09-07T21:23:00.9782865Z,7015ccbd4117,0.06%,59.49MiB / 7.669GiB,0.76%,25.1kB / 5.06kB,194MB / 23.5MB
2026-09-07T21:23:00.9782865Z,780cf24df99c,1.48%,505.4MiB / 7.669GiB,6.44%,21.9MB / 22.2MB,148MB / 66MB
2026-09-07T21:23:00.9782865Z,d6e0c9f9bb0e,0.02%,73.43MiB / 7.669GiB,0.94%,13.9kB / 7.73kB,69.7MB / 57.8MB
2026-09-07T21:23:00.9782865Z,4c260e843873,4.12%,332.1MiB / 7.669GiB,4.23%,48kB / 84.5kB,167MB / 1.2MB
2026-09-07T21:23:15.6567737Z,f0ca9beaee79,5.67%,566.8MiB / 7.669GiB,7.22%,22.3MB / 242kB,20.4MB / 44.3MB
2026-09-07T21:23:15.6567737Z,7015ccbd4117,1.32%,60.24MiB / 7.669GiB,0.77%,25.3kB / 5.33kB,194MB / 23.5MB
2026-09-07T21:23:15.6567737Z,780cf24df99c,3.45%,514.1MiB / 7.669GiB,6.55%,22MB / 22.2MB,148MB / 66MB
2026-09-07T21:23:15.6567737Z,d6e0c9f9bb0e,0.02%,73.13MiB / 7.669GiB,0.93%,13.9kB / 7.73kB,69.7MB / 57.8MB
2026-09-07T21:23:15.6567737Z,4c260e843873,124.08%,347.1MiB / 7.669GiB,4.42%,60.5kB / 98.7kB,167MB / 1.38MB
2026-09-07T21:23:28.4646978Z,f0ca9beaee79,3.06%,558MiB / 7.669GiB,7.11%,22.3MB / 267kB,20.4MB / 44.4MB
2026-09-07T21:23:28.4646978Z,7015ccbd4117,0.16%,60MiB / 7.669GiB,0.76%,25.4kB / 5.41kB,194MB / 23.5MB
2026-09-07T21:23:28.4646978Z,780cf24df99c,1.92%,524.2MiB / 7.669GiB,6.68%,22.1MB / 22.2MB,148MB / 66MB
2026-09-07T21:23:28.4646978Z,d6e0c9f9bb0e,0.02%,73.58MiB / 7.669GiB,0.94%,13.9kB / 7.73kB,69.7MB / 57.9MB
2026-09-07T21:23:28.4646978Z,4c260e843873,89.72%,346.6MiB / 7.669GiB,4.41%,70.2kB / 110kB,167MB / 1.54MB
2026-09-07T21:23:41.2954756Z,f0ca9beaee79,3.91%,582.3MiB / 7.669GiB,7.41%,22.3MB / 352kB,20.4MB / 44.4MB
2026-09-07T21:23:41.2954756Z,7015ccbd4117,0.06%,59.45MiB / 7.669GiB,0.76%,25.6kB / 5.41kB,194MB / 23.5MB
2026-09-07T21:23:41.2954756Z,073447a3ba24,210.42%,85.7MiB / 7.669GiB,1.09%,8.06kB / 4.18kB,0B / 98.3kB
2026-09-07T21:23:41.2954756Z,780cf24df99c,1.73%,535.9MiB / 7.669GiB,6.82%,22.1MB / 22.3MB,148MB / 66.1MB
2026-09-07T21:23:41.2954756Z,d6e0c9f9bb0e,0.00%,72.7MiB / 7.669GiB,0.93%,14kB / 7.73kB,69.7MB / 57.9MB
2026-09-07T21:23:41.2954756Z,4c260e843873,7.86%,349.1MiB / 7.669GiB,4.45%,85.2kB / 129kB,167MB / 1.72MB
2026-09-07T21:23:54.1067972Z,f0ca9beaee79,54.89%,604.2MiB / 7.669GiB,7.69%,22.3MB / 387kB,20.4MB / 44.4MB
2026-09-07T21:23:54.1067972Z,7015ccbd4117,0.06%,59.45MiB / 7.669GiB,0.76%,26.3kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:23:54.1067972Z,073447a3ba24,205.32%,79.83MiB / 7.669GiB,1.02%,23.5kB / 12.1kB,0B / 295kB
2026-09-07T21:23:54.1067972Z,780cf24df99c,1.58%,558.3MiB / 7.669GiB,7.11%,22.1MB / 22.3MB,148MB / 66.1MB
2026-09-07T21:23:54.1067972Z,d6e0c9f9bb0e,0.02%,74.35MiB / 7.669GiB,0.95%,14kB / 7.73kB,69.7MB / 57.9MB
2026-09-07T21:23:54.1067972Z,4c260e843873,2.81%,348MiB / 7.669GiB,4.43%,104kB / 157kB,167MB / 1.89MB
2026-09-07T21:24:06.9386412Z,f0ca9beaee79,3.76%,602.4MiB / 7.669GiB,7.67%,22.3MB / 415kB,20.4MB / 44.4MB
2026-09-07T21:24:06.9386412Z,7015ccbd4117,0.12%,59.29MiB / 7.669GiB,0.75%,26.3kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:24:06.9386412Z,780cf24df99c,2.00%,566.7MiB / 7.669GiB,7.22%,22.2MB / 22.3MB,148MB / 66.1MB
2026-09-07T21:24:06.9386412Z,d6e0c9f9bb0e,0.00%,72.8MiB / 7.669GiB,0.93%,14kB / 7.73kB,69.7MB / 57.9MB
2026-09-07T21:24:06.9386412Z,4c260e843873,5.32%,347MiB / 7.669GiB,4.42%,125kB / 196kB,167MB / 2.08MB
2026-09-07T21:24:19.7569609Z,711b53ad6caf,1.45%,17.72MiB / 7.669GiB,0.23%,21.2kB / 72.7kB,0B / 0B
2026-09-07T21:24:19.7569609Z,f0ca9beaee79,6.27%,586.7MiB / 7.669GiB,7.47%,22.5MB / 649kB,20.4MB / 44.4MB
2026-09-07T21:24:19.7569609Z,7015ccbd4117,0.04%,60.46MiB / 7.669GiB,0.77%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:24:19.7569609Z,780cf24df99c,1.97%,557.6MiB / 7.669GiB,7.10%,22.2MB / 22.3MB,148MB / 66.1MB
2026-09-07T21:24:19.7569609Z,d6e0c9f9bb0e,6.68%,81.12MiB / 7.669GiB,1.03%,55.4kB / 12.2kB,69.7MB / 58.4MB
2026-09-07T21:24:19.7569609Z,4c260e843873,5.79%,352.4MiB / 7.669GiB,4.49%,296kB / 313kB,167MB / 2.19MB
2026-09-07T21:24:33.9758600Z,711b53ad6caf,2.08%,17.62MiB / 7.669GiB,0.22%,40kB / 146kB,0B / 0B
2026-09-07T21:24:33.9758600Z,f0ca9beaee79,16.51%,608MiB / 7.669GiB,7.74%,22.6MB / 832kB,20.4MB / 44.4MB
2026-09-07T21:24:33.9758600Z,7015ccbd4117,0.88%,60.79MiB / 7.669GiB,0.77%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:24:33.9758600Z,780cf24df99c,1.45%,562.8MiB / 7.669GiB,7.17%,22.3MB / 22.3MB,148MB / 66.1MB
2026-09-07T21:24:33.9758600Z,d6e0c9f9bb0e,0.20%,80.29MiB / 7.669GiB,1.02%,95.4kB / 19.4kB,69.7MB / 58.9MB
2026-09-07T21:24:33.9758600Z,4c260e843873,3.93%,352MiB / 7.669GiB,4.48%,484kB / 438kB,167MB / 2.3MB
2026-09-07T21:24:46.9105502Z,711b53ad6caf,1.96%,18.1MiB / 7.669GiB,0.23%,56.7kB / 211kB,0B / 0B
2026-09-07T21:24:46.9105502Z,f0ca9beaee79,8.82%,605.8MiB / 7.669GiB,7.72%,22.7MB / 1.09MB,20.4MB / 44.4MB
2026-09-07T21:24:46.9105502Z,7015ccbd4117,0.10%,61.2MiB / 7.669GiB,0.78%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:24:46.9105502Z,780cf24df99c,1.37%,569.8MiB / 7.669GiB,7.26%,22.4MB / 22.3MB,148MB / 66.2MB
2026-09-07T21:24:46.9105502Z,d6e0c9f9bb0e,0.18%,79.63MiB / 7.669GiB,1.01%,140kB / 26.9kB,69.7MB / 59.3MB
2026-09-07T21:24:46.9105502Z,4c260e843873,7.10%,355.7MiB / 7.669GiB,4.53%,680kB / 572kB,167MB / 2.44MB
2026-09-07T21:24:59.6555863Z,711b53ad6caf,2.03%,17.69MiB / 7.669GiB,0.23%,77.1kB / 289kB,0B / 0B
2026-09-07T21:24:59.6555863Z,f0ca9beaee79,5.35%,606.4MiB / 7.669GiB,7.72%,22.9MB / 1.27MB,20.4MB / 44.4MB
2026-09-07T21:24:59.6555863Z,7015ccbd4117,0.05%,61.67MiB / 7.669GiB,0.79%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:24:59.6555863Z,780cf24df99c,3.64%,574.1MiB / 7.669GiB,7.31%,22.4MB / 22.3MB,148MB / 66.2MB
2026-09-07T21:24:59.6555863Z,d6e0c9f9bb0e,0.60%,79.89MiB / 7.669GiB,1.02%,186kB / 34kB,69.7MB / 60MB
2026-09-07T21:24:59.6555863Z,4c260e843873,8.02%,368.3MiB / 7.669GiB,4.69%,872kB / 701kB,167MB / 2.93MB
2026-09-07T21:25:12.8364270Z,711b53ad6caf,1.45%,18MiB / 7.669GiB,0.23%,93.7kB / 355kB,0B / 0B
2026-09-07T21:25:12.8364270Z,f0ca9beaee79,3.50%,586.6MiB / 7.669GiB,7.47%,23MB / 1.52MB,20.4MB / 44.4MB
2026-09-07T21:25:12.8364270Z,7015ccbd4117,0.78%,61.91MiB / 7.669GiB,0.79%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:25:12.8364270Z,780cf24df99c,0.95%,576.2MiB / 7.669GiB,7.34%,22.5MB / 22.3MB,148MB / 66.3MB
2026-09-07T21:25:12.8364270Z,d6e0c9f9bb0e,0.19%,79.97MiB / 7.669GiB,1.02%,223kB / 40.1kB,69.7MB / 60.6MB
2026-09-07T21:25:12.8364270Z,4c260e843873,4.08%,362.3MiB / 7.669GiB,4.61%,1.08MB / 840kB,167MB / 3.08MB
2026-09-07T21:25:25.9336501Z,711b53ad6caf,1.66%,17.51MiB / 7.669GiB,0.22%,112kB / 427kB,0B / 0B
2026-09-07T21:25:25.9336501Z,f0ca9beaee79,6.04%,580.9MiB / 7.669GiB,7.40%,23.1MB / 1.72MB,20.4MB / 44.4MB
2026-09-07T21:25:25.9336501Z,7015ccbd4117,0.79%,61.48MiB / 7.669GiB,0.78%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:25:25.9336501Z,780cf24df99c,1.12%,577.5MiB / 7.669GiB,7.35%,22.5MB / 22.3MB,148MB / 66.3MB
2026-09-07T21:25:25.9336501Z,d6e0c9f9bb0e,0.74%,80.18MiB / 7.669GiB,1.02%,271kB / 47.3kB,69.7MB / 60.9MB
