timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T22:24:35.6344354Z,52a6f56b69db,1.59%,764.3MiB / 7.669GiB,9.73%,64.8MB / 67.4MB,0B / 45.1MB
2026-09-07T22:24:35.6344354Z,b70629ac2384,0.59%,45.68MiB / 7.669GiB,0.58%,32.2kB / 7.73kB,0B / 23.6MB
2026-09-07T22:24:35.6344354Z,148e0df0f1ec,0.86%,518.1MiB / 7.669GiB,6.60%,26.2MB / 23.2MB,0B / 68.1MB
2026-09-07T22:24:35.6344354Z,6ed2d36740fc,3.79%,88.51MiB / 7.669GiB,1.13%,18.3MB / 2.04MB,0B / 243MB
2026-09-07T22:24:35.6344354Z,9097845becb9,1.13%,933.7MiB / 7.669GiB,11.89%,70.3MB / 44.5MB,0B / 64.3MB
2026-09-07T22:24:35.6344354Z,872dc7498c4c,144.31%,5.777MiB / 7.669GiB,0.07%,2.36kB / 1.38kB,0B / 32.8kB
2026-09-07T22:24:49.5193054Z,52a6f56b69db,2.03%,742.8MiB / 7.669GiB,9.46%,64.8MB / 67.5MB,0B / 45.1MB
2026-09-07T22:24:49.5193054Z,872dc7498c4c,145.32%,59.5MiB / 7.669GiB,0.76%,23.5kB / 11.9kB,0B / 295kB
2026-09-07T22:24:49.5193054Z,b70629ac2384,0.08%,45.44MiB / 7.669GiB,0.58%,32.3kB / 7.73kB,0B / 23.6MB
2026-09-07T22:24:49.5193054Z,148e0df0f1ec,3.54%,521.3MiB / 7.669GiB,6.64%,26.3MB / 23.3MB,0B / 68.1MB
2026-09-07T22:24:49.5193054Z,6ed2d36740fc,0.02%,87.26MiB / 7.669GiB,1.11%,18.3MB / 2.04MB,0B / 243MB
2026-09-07T22:24:49.5193054Z,9097845becb9,1.93%,933.6MiB / 7.669GiB,11.89%,70.3MB / 44.6MB,0B / 64.5MB
2026-09-07T22:25:02.3015744Z,7fa2ca4b9248,31.45%,18.57MiB / 7.669GiB,0.24%,52kB / 769kB,0B / 0B
2026-09-07T22:25:02.3015744Z,52a6f56b69db,14.87%,747MiB / 7.669GiB,9.51%,65.4MB / 68.5MB,0B / 45.2MB
2026-09-07T22:25:02.3015744Z,b70629ac2384,0.06%,44.34MiB / 7.669GiB,0.56%,32.5kB / 7.73kB,0B / 23.6MB
2026-09-07T22:25:02.3015744Z,148e0df0f1ec,0.88%,536.6MiB / 7.669GiB,6.83%,26.3MB / 23.3MB,0B / 68.1MB
2026-09-07T22:25:02.3015744Z,6ed2d36740fc,35.00%,89.01MiB / 7.669GiB,1.13%,19MB / 2.1MB,0B / 247MB
2026-09-07T22:25:02.3015744Z,9097845becb9,15.96%,934.6MiB / 7.669GiB,11.90%,71.4MB / 45.2MB,0B / 64.7MB
2026-09-07T22:25:15.0488015Z,7fa2ca4b9248,30.63%,18.68MiB / 7.669GiB,0.24%,277kB / 4.31MB,0B / 0B
2026-09-07T22:25:15.0488015Z,52a6f56b69db,18.50%,746.6MiB / 7.669GiB,9.51%,70.9MB / 79MB,0B / 45.2MB
2026-09-07T22:25:15.0488015Z,b70629ac2384,0.04%,44.41MiB / 7.669GiB,0.57%,32.5kB / 7.73kB,0B / 23.6MB
2026-09-07T22:25:15.0488015Z,148e0df0f1ec,0.84%,537.8MiB / 7.669GiB,6.85%,26.4MB / 23.3MB,0B / 68.1MB
2026-09-07T22:25:15.0488015Z,6ed2d36740fc,20.21%,94.24MiB / 7.669GiB,1.20%,22.2MB / 2.42MB,0B / 258MB
2026-09-07T22:25:15.0488015Z,9097845becb9,11.25%,936.4MiB / 7.669GiB,11.92%,81.1MB / 50MB,0B / 64.9MB
2026-09-07T22:25:27.8070804Z,7fa2ca4b9248,30.82%,19.11MiB / 7.669GiB,0.24%,542kB / 8.47MB,0B / 0B
2026-09-07T22:25:27.8070804Z,52a6f56b69db,12.85%,749.2MiB / 7.669GiB,9.54%,75.5MB / 87.8MB,0B / 45.2MB
2026-09-07T22:25:27.8070804Z,b70629ac2384,0.04%,44.54MiB / 7.669GiB,0.57%,32.5kB / 7.73kB,0B / 23.6MB
2026-09-07T22:25:27.8070804Z,148e0df0f1ec,0.84%,537.2MiB / 7.669GiB,6.84%,26.4MB / 23.3MB,0B / 68.1MB
