scenario,container,sample_count,avg_cpu_percent,avg_mem_percent
high,4c260e843873,50,34.91,13.06
high,7015ccbd4117,50,0.3,0.7
high,780cf24df99c,50,1.58,7.75
high,a6276b118c81,46,30.87,0.26
high,d6e0c9f9bb0e,50,41.51,2.55
high,e0d1802d50e4,3,102.78,0.35
high,f0ca9beaee79,50,12.45,9.96
low,073447a3ba24,2,207.87,1.06
low,4c260e843873,32,24.69,4.94
low,7015ccbd4117,32,0.36,0.74
low,711b53ad6caf,23,1.63,0.22
low,780cf24df99c,32,2.61,7.21
low,d6e0c9f9bb0e,32,1.16,1.01
low,f0ca9beaee79,32,11.45,7.76
low,f90de3263675,1,173.2,0.87
medium,01a82ad532c5,46,8.7,0.23
medium,073447a3ba24,2,170.8,0.57
medium,4c260e843873,49,26.81,10.75
medium,7015ccbd4117,49,0.15,0.7
medium,780cf24df99c,49,1.45,7.63
medium,d6e0c9f9bb0e,49,5.5,1.24
medium,f0ca9beaee79,49,7.52,9.84
