query,window,scenario,type,elapsed_ms
01-last-5-minutes,5min,low,267.29
02-last-1-hour,1h,low,245.73
03-last-24-hours,24h,low,240.03
10-cagg-last-5-minutes,5min,low,247.08
11-cagg-last-1-hour,1h,low,234.88
12-cagg-last-24-hours,24h,low,231.36
01-last-5-minutes,5min,medium,317.6
02-last-1-hour,1h,medium,311.13
03-last-24-hours,24h,medium,305.74
10-cagg-last-5-minutes,5min,medium,272.09
11-cagg-last-1-hour,1h,medium,269.18
12-cagg-last-24-hours,24h,medium,258.37
01-last-5-minutes,5min,high,372.9
02-last-1-hour,1h,high,403.31
03-last-24-hours,24h,high,966.08
10-cagg-last-5-minutes,5min,high,294.02
11-cagg-last-1-hour,1h,high,282.98
12-cagg-last-24-hours,24h,high,331.73
