timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T22:53:46.3237427Z,e82df77eecb0,2.77%,775.5MiB / 7.669GiB,9.88%,64.7MB / 66.5MB,1.28MB / 45.1MB
2026-09-07T22:53:46.3237427Z,2203b3624192,0.07%,46.66MiB / 7.669GiB,0.59%,32.2kB / 7.58kB,0B / 23.6MB
2026-09-07T22:53:46.3237427Z,993668007d61,2.00%,522.9MiB / 7.669GiB,6.66%,25.3MB / 23.1MB,0B / 67.3MB
2026-09-07T22:53:46.3237427Z,7889eabeaeed,0.14%,87.9MiB / 7.669GiB,1.12%,18.3MB / 2.03MB,0B / 251MB
2026-09-07T22:53:46.3237427Z,0ddeeeb4ac66,1.27%,926.3MiB / 7.669GiB,11.80%,70.3MB / 44.6MB,0B / 63.1MB
2026-09-07T22:53:46.3237427Z,bb0fd2f6e80b,138.68%,6.105MiB / 7.669GiB,0.08%,2.58kB / 1.38kB,0B / 32.8kB
2026-09-07T22:54:00.2866205Z,e82df77eecb0,1.55%,775.9MiB / 7.669GiB,9.88%,64.7MB / 66.5MB,1.28MB / 45.1MB
2026-09-07T22:54:00.2866205Z,bb0fd2f6e80b,160.56%,65.36MiB / 7.669GiB,0.83%,23.5kB / 11.9kB,0B / 295kB
2026-09-07T22:54:00.2866205Z,2203b3624192,0.08%,46.58MiB / 7.669GiB,0.59%,32.3kB / 7.58kB,0B / 23.6MB
2026-09-07T22:54:00.2866205Z,993668007d61,2.63%,523.1MiB / 7.669GiB,6.66%,25.3MB / 23.1MB,0B / 67.3MB
2026-09-07T22:54:00.2866205Z,7889eabeaeed,0.07%,87.94MiB / 7.669GiB,1.12%,18.3MB / 2.03MB,0B / 252MB
2026-09-07T22:54:00.2866205Z,0ddeeeb4ac66,1.19%,926.2MiB / 7.669GiB,11.79%,70.4MB / 44.6MB,0B / 63.3MB
2026-09-07T22:54:13.1284083Z,cc373c1ceeb1,30.27%,18.28MiB / 7.669GiB,0.23%,51.8kB / 767kB,0B / 0B
2026-09-07T22:54:13.1284083Z,e82df77eecb0,23.98%,771.8MiB / 7.669GiB,9.83%,65.8MB / 68.5MB,1.28MB / 45.1MB
2026-09-07T22:54:13.1284083Z,2203b3624192,0.03%,45.48MiB / 7.669GiB,0.58%,32.5kB / 7.58kB,0B / 23.6MB
2026-09-07T22:54:13.1284083Z,993668007d61,3.14%,522.1MiB / 7.669GiB,6.65%,25.4MB / 23.1MB,0B / 67.3MB
2026-09-07T22:54:13.1284083Z,7889eabeaeed,50.80%,88.11MiB / 7.669GiB,1.12%,18.7MB / 2.07MB,0B / 254MB
2026-09-07T22:54:13.1284083Z,0ddeeeb4ac66,22.44%,929.4MiB / 7.669GiB,11.84%,72.4MB / 45.7MB,0B / 63.5MB
2026-09-07T22:54:25.9064932Z,cc373c1ceeb1,31.19%,18.69MiB / 7.669GiB,0.24%,278kB / 4.32MB,0B / 0B
