scenario,first_processing_time,last_processing_time,total_events,effective_events_per_second
low,2026-09-07 22:37:22.335132+00,2026-09-07 22:42:22.204441+00,3000,10.00
medium,2026-09-07 22:43:16.88909+00,2026-09-07 22:53:16.852479+00,60000,100.01
