timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T22:42:51.0307379Z,e82df77eecb0,2.53%,679.4MiB / 7.669GiB,8.65%,25.3MB / 5.29MB,1.28MB / 44.5MB
2026-09-07T22:42:51.0307379Z,2203b3624192,0.05%,46.5MiB / 7.669GiB,0.59%,26.5kB / 6.01kB,0B / 23.5MB
2026-09-07T22:42:51.0307379Z,993668007d61,1.74%,539.3MiB / 7.669GiB,6.87%,23.2MB / 22.5MB,0B / 66.6MB
2026-09-07T22:42:51.0307379Z,7889eabeaeed,1.18%,56.98MiB / 7.669GiB,0.73%,1.02MB / 162kB,0B / 95.6MB
2026-09-07T22:42:51.0307379Z,0ddeeeb4ac66,1.92%,403.5MiB / 7.669GiB,5.14%,4.58MB / 3.21MB,0B / 8.41MB
2026-09-07T22:42:51.0307379Z,bb0fd2f6e80b,141.95%,5.637MiB / 7.669GiB,0.07%,2.58kB / 1.38kB,0B / 32.8kB
2026-09-07T22:43:04.9205678Z,e82df77eecb0,1.48%,681MiB / 7.669GiB,8.67%,25.4MB / 5.32MB,1.28MB / 44.5MB
2026-09-07T22:43:04.9205678Z,bb0fd2f6e80b,156.79%,62.86MiB / 7.669GiB,0.80%,23.5kB / 11.9kB,0B / 295kB
2026-09-07T22:43:04.9205678Z,2203b3624192,0.09%,46.82MiB / 7.669GiB,0.60%,26.7kB / 6.01kB,0B / 23.5MB
2026-09-07T22:43:04.9205678Z,993668007d61,1.69%,538.5MiB / 7.669GiB,6.86%,23.3MB / 22.5MB,0B / 66.6MB
2026-09-07T22:43:04.9205678Z,7889eabeaeed,0.00%,56.84MiB / 7.669GiB,0.72%,1.02MB / 162kB,0B / 95.6MB
2026-09-07T22:43:04.9205678Z,0ddeeeb4ac66,1.22%,403.9MiB / 7.669GiB,5.14%,4.6MB / 3.25MB,0B / 8.56MB
2026-09-07T22:43:17.7106496Z,2aabd51e52ca,7.66%,17.46MiB / 7.669GiB,0.22%,24.8kB / 118kB,0B / 0B
2026-09-07T22:43:17.7106496Z,e82df77eecb0,8.46%,695.1MiB / 7.669GiB,8.85%,25.6MB / 5.69MB,1.28MB / 44.6MB
2026-09-07T22:43:17.7106496Z,2203b3624192,0.05%,45.53MiB / 7.669GiB,0.58%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:43:17.7106496Z,993668007d61,0.94%,539.3MiB / 7.669GiB,6.87%,23.3MB / 22.5MB,0B / 66.6MB
2026-09-07T22:43:17.7106496Z,7889eabeaeed,5.08%,57.07MiB / 7.669GiB,0.73%,1.1MB / 170kB,0B / 95.9MB
2026-09-07T22:43:17.7106496Z,0ddeeeb4ac66,13.30%,407.9MiB / 7.669GiB,5.19%,4.96MB / 3.5MB,0B / 8.75MB
2026-09-07T22:43:30.4601206Z,2aabd51e52ca,7.62%,17.69MiB / 7.669GiB,0.23%,119kB / 622kB,0B / 0B
2026-09-07T22:43:30.4601206Z,e82df77eecb0,26.05%,740.5MiB / 7.669GiB,9.43%,26.4MB / 7.01MB,1.28MB / 44.6MB
2026-09-07T22:43:30.4601206Z,2203b3624192,0.04%,46.57MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:43:30.4601206Z,993668007d61,0.82%,538.9MiB / 7.669GiB,6.86%,23.3MB / 22.5MB,0B / 66.6MB
2026-09-07T22:43:30.4601206Z,7889eabeaeed,4.69%,58.51MiB / 7.669GiB,0.75%,1.47MB / 211kB,0B / 97.3MB
2026-09-07T22:43:30.4601206Z,0ddeeeb4ac66,74.04%,424.2MiB / 7.669GiB,5.40%,6.26MB / 4.32MB,0B / 8.89MB
2026-09-07T22:43:43.1938507Z,2aabd51e52ca,9.14%,17.95MiB / 7.669GiB,0.23%,206kB / 1.09MB,0B / 0B
2026-09-07T22:43:43.1938507Z,e82df77eecb0,85.08%,779.6MiB / 7.669GiB,9.93%,27.2MB / 8.25MB,1.28MB / 44.6MB
2026-09-07T22:43:43.1938507Z,2203b3624192,0.58%,46.27MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:43:43.1938507Z,993668007d61,1.18%,540MiB / 7.669GiB,6.88%,23.4MB / 22.6MB,0B / 66.7MB
2026-09-07T22:43:43.1938507Z,7889eabeaeed,4.32%,58.92MiB / 7.669GiB,0.75%,1.83MB / 250kB,0B / 98.7MB
2026-09-07T22:43:43.1938507Z,0ddeeeb4ac66,11.86%,408.2MiB / 7.669GiB,5.20%,7.79MB / 5.28MB,0B / 9.06MB
2026-09-07T22:43:56.1149000Z,2aabd51e52ca,8.18%,18.08MiB / 7.669GiB,0.23%,308kB / 1.64MB,0B / 0B
2026-09-07T22:43:56.1149000Z,e82df77eecb0,9.62%,767.4MiB / 7.669GiB,9.77%,28.1MB / 9.64MB,1.28MB / 44.6MB
2026-09-07T22:43:56.1149000Z,2203b3624192,0.05%,46.25MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:43:56.1149000Z,993668007d61,1.05%,536.6MiB / 7.669GiB,6.83%,23.4MB / 22.6MB,0B / 66.7MB
2026-09-07T22:43:56.1149000Z,7889eabeaeed,5.10%,59.38MiB / 7.669GiB,0.76%,2.2MB / 290kB,0B / 101MB
2026-09-07T22:43:56.1149000Z,0ddeeeb4ac66,9.17%,447.2MiB / 7.669GiB,5.70%,9.22MB / 6.17MB,0B / 9.23MB
2026-09-07T22:44:08.8992772Z,2aabd51e52ca,7.58%,18.19MiB / 7.669GiB,0.23%,402kB / 2.15MB,0B / 0B
2026-09-07T22:44:08.8992772Z,e82df77eecb0,10.90%,752.7MiB / 7.669GiB,9.58%,29MB / 10.9MB,1.28MB / 44.6MB
2026-09-07T22:44:08.8992772Z,2203b3624192,0.12%,46.47MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:44:08.8992772Z,993668007d61,2.63%,536.9MiB / 7.669GiB,6.84%,23.5MB / 22.6MB,0B / 66.7MB
2026-09-07T22:44:08.8992772Z,7889eabeaeed,4.91%,60.52MiB / 7.669GiB,0.77%,2.57MB / 329kB,0B / 103MB
2026-09-07T22:44:08.8992772Z,0ddeeeb4ac66,73.94%,517.2MiB / 7.669GiB,6.59%,10.6MB / 7.05MB,0B / 12.8MB
2026-09-07T22:44:21.7066952Z,2aabd51e52ca,7.82%,17.89MiB / 7.669GiB,0.23%,489kB / 2.61MB,0B / 0B
2026-09-07T22:44:21.7066952Z,e82df77eecb0,7.23%,761.4MiB / 7.669GiB,9.70%,29.8MB / 12.3MB,1.28MB / 44.6MB
2026-09-07T22:44:21.7066952Z,2203b3624192,1.42%,46.96MiB / 7.669GiB,0.60%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:44:21.7066952Z,993668007d61,1.54%,537.2MiB / 7.669GiB,6.84%,23.5MB / 22.6MB,0B / 66.7MB
2026-09-07T22:44:21.7066952Z,7889eabeaeed,6.25%,60.8MiB / 7.669GiB,0.77%,2.93MB / 368kB,0B / 105MB
2026-09-07T22:44:21.7066952Z,0ddeeeb4ac66,61.23%,515.7MiB / 7.669GiB,6.57%,12MB / 7.93MB,0B / 13MB
2026-09-07T22:44:34.4611450Z,2aabd51e52ca,7.33%,17.78MiB / 7.669GiB,0.23%,591kB / 3.16MB,0B / 0B
2026-09-07T22:44:34.4611450Z,e82df77eecb0,6.00%,761.9MiB / 7.669GiB,9.70%,30.6MB / 13.6MB,1.28MB / 44.6MB
2026-09-07T22:44:34.4611450Z,2203b3624192,0.09%,47.09MiB / 7.669GiB,0.60%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:44:34.4611450Z,993668007d61,0.92%,532.2MiB / 7.669GiB,6.78%,23.5MB / 22.6MB,0B / 66.7MB
2026-09-07T22:44:34.4611450Z,7889eabeaeed,4.30%,61.24MiB / 7.669GiB,0.78%,3.29MB / 406kB,0B / 107MB
2026-09-07T22:44:34.4611450Z,0ddeeeb4ac66,25.85%,550.1MiB / 7.669GiB,7.01%,13.3MB / 8.75MB,0B / 15.1MB
2026-09-07T22:44:47.2427891Z,2aabd51e52ca,7.71%,18.04MiB / 7.669GiB,0.23%,685kB / 3.67MB,0B / 0B
2026-09-07T22:44:47.2427891Z,e82df77eecb0,6.08%,766.8MiB / 7.669GiB,9.76%,31.4MB / 14.8MB,1.28MB / 44.6MB
2026-09-07T22:44:47.2427891Z,2203b3624192,0.03%,46.31MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:44:47.2427891Z,993668007d61,1.77%,514.9MiB / 7.669GiB,6.56%,23.6MB / 22.6MB,0B / 66.7MB
2026-09-07T22:44:47.2427891Z,7889eabeaeed,4.48%,61.9MiB / 7.669GiB,0.79%,3.66MB / 446kB,0B / 109MB
2026-09-07T22:44:47.2427891Z,0ddeeeb4ac66,8.58%,589.1MiB / 7.669GiB,7.50%,14.8MB / 9.7MB,0B / 15.9MB
2026-09-07T22:44:59.9720672Z,2aabd51e52ca,8.20%,17.73MiB / 7.669GiB,0.23%,779kB / 4.17MB,0B / 0B
2026-09-07T22:44:59.9720672Z,e82df77eecb0,6.74%,761.1MiB / 7.669GiB,9.69%,32.3MB / 16.1MB,1.28MB / 44.6MB
2026-09-07T22:44:59.9720672Z,2203b3624192,0.04%,46.47MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:44:59.9720672Z,993668007d61,0.93%,514.6MiB / 7.669GiB,6.55%,23.6MB / 22.6MB,0B / 66.7MB
2026-09-07T22:44:59.9720672Z,7889eabeaeed,4.89%,62.77MiB / 7.669GiB,0.80%,4.04MB / 487kB,0B / 111MB
2026-09-07T22:44:59.9720672Z,0ddeeeb4ac66,8.26%,619.8MiB / 7.669GiB,7.89%,16.1MB / 10.5MB,0B / 16.1MB
2026-09-07T22:45:12.7859262Z,2aabd51e52ca,8.34%,17.69MiB / 7.669GiB,0.23%,873kB / 4.68MB,0B / 0B
2026-09-07T22:45:12.7859262Z,e82df77eecb0,23.86%,770.3MiB / 7.669GiB,9.81%,33.2MB / 17.5MB,1.28MB / 44.6MB
2026-09-07T22:45:12.7859262Z,2203b3624192,0.04%,45.74MiB / 7.669GiB,0.58%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:45:12.7859262Z,993668007d61,4.25%,515MiB / 7.669GiB,6.56%,23.7MB / 22.7MB,0B / 66.7MB
2026-09-07T22:45:12.7859262Z,7889eabeaeed,5.65%,62.89MiB / 7.669GiB,0.80%,4.38MB / 524kB,0B / 113MB
2026-09-07T22:45:12.7859262Z,0ddeeeb4ac66,7.37%,658.4MiB / 7.669GiB,8.38%,17.5MB / 11.4MB,0B / 18.1MB
2026-09-07T22:45:25.5185964Z,2aabd51e52ca,7.77%,18.46MiB / 7.669GiB,0.24%,967kB / 5.19MB,0B / 0B
2026-09-07T22:45:25.5185964Z,e82df77eecb0,6.03%,770.5MiB / 7.669GiB,9.81%,34MB / 18.7MB,1.28MB / 44.6MB
2026-09-07T22:45:25.5185964Z,2203b3624192,0.04%,46.62MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:45:25.5185964Z,993668007d61,1.09%,516.4MiB / 7.669GiB,6.58%,23.7MB / 22.7MB,0B / 66.8MB
2026-09-07T22:45:25.5185964Z,7889eabeaeed,4.69%,63.53MiB / 7.669GiB,0.81%,4.77MB / 566kB,0B / 115MB
2026-09-07T22:45:25.5185964Z,0ddeeeb4ac66,8.43%,692.8MiB / 7.669GiB,8.82%,19MB / 12.3MB,0B / 18.7MB
2026-09-07T22:45:38.2841137Z,2aabd51e52ca,10.12%,18.06MiB / 7.669GiB,0.23%,1.06MB / 5.69MB,0B / 0B
2026-09-07T22:45:38.2841137Z,e82df77eecb0,7.46%,770MiB / 7.669GiB,9.81%,34.8MB / 20MB,1.28MB / 44.6MB
2026-09-07T22:45:38.2841137Z,2203b3624192,0.11%,46.6MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:45:38.2841137Z,993668007d61,4.53%,517.2MiB / 7.669GiB,6.59%,23.7MB / 22.7MB,0B / 66.8MB
2026-09-07T22:45:38.2841137Z,7889eabeaeed,6.42%,64.79MiB / 7.669GiB,0.83%,5.14MB / 607kB,0B / 118MB
2026-09-07T22:45:38.2841137Z,0ddeeeb4ac66,9.75%,728.4MiB / 7.669GiB,9.28%,20.4MB / 13.2MB,0B / 20.4MB
2026-09-07T22:45:51.0707536Z,2aabd51e52ca,8.53%,18.02MiB / 7.669GiB,0.23%,1.15MB / 6.16MB,0B / 0B
2026-09-07T22:45:51.0707536Z,e82df77eecb0,5.96%,769.3MiB / 7.669GiB,9.80%,35.6MB / 21.2MB,1.28MB / 44.7MB
2026-09-07T22:45:51.0707536Z,2203b3624192,0.03%,46.37MiB / 7.669GiB,0.59%,26.8kB / 6.01kB,0B / 23.5MB
2026-09-07T22:45:51.0707536Z,993668007d61,1.07%,516.2MiB / 7.669GiB,6.57%,23.8MB / 22.7MB,0B / 66.8MB
2026-09-07T22:45:51.0707536Z,7889eabeaeed,4.92%,65.28MiB / 7.669GiB,0.83%,5.51MB / 647kB,0B / 120MB
2026-09-07T22:45:51.0707536Z,0ddeeeb4ac66,8.52%,774.7MiB / 7.669GiB,9.87%,21.8MB / 14.1MB,0B / 21.6MB
2026-09-07T22:46:03.7738916Z,2aabd51e52ca,7.75%,17.47MiB / 7.669GiB,0.22%,1.25MB / 6.71MB,0B / 0B
