minute,scenario,events,avg_latency_ms,p95_latency_ms
2026-09-07 22:37:00+00,low,377,16.32,15
2026-09-07 22:38:00+00,low,600,13.12,15
2026-09-07 22:39:00+00,low,600,13.31,14
2026-09-07 22:40:00+00,low,600,19.87,19.049999999999955
2026-09-07 22:41:00+00,low,600,13.01,14
2026-09-07 22:42:00+00,low,223,12.71,14
2026-09-07 22:43:00+00,medium,4312,8.25,13
2026-09-07 22:44:00+00,medium,6000,10.55,13
2026-09-07 22:45:00+00,medium,6002,8.24,13
2026-09-07 22:46:00+00,medium,6000,8.58,13
2026-09-07 22:47:00+00,medium,6000,8.55,13
2026-09-07 22:48:00+00,medium,6000,7.63,13
2026-09-07 22:49:00+00,medium,5999,7.99,13
2026-09-07 22:50:00+00,medium,6002,8.05,13
2026-09-07 22:51:00+00,medium,6000,8.59,13
2026-09-07 22:52:00+00,medium,5999,8.06,13
2026-09-07 22:53:00+00,medium,1686,8.72,13
2026-09-07 22:54:00+00,high,47320,67.73,270
2026-09-07 22:55:00+00,high,59987,43.31,197
2026-09-07 22:56:00+00,high,59903,66.90,242
2026-09-07 22:57:00+00,high,60114,62.60,249
2026-09-07 22:58:00+00,high,60006,63.06,261
2026-09-07 22:59:00+00,high,60000,44.53,202
2026-09-07 23:00:00+00,high,59820,69.32,259
2026-09-07 23:01:00+00,high,60184,68.62,268
2026-09-07 23:02:00+00,high,60006,50.11,219
2026-09-07 23:03:00+00,high,59848,64.20,244
2026-09-07 23:04:00+00,high,12812,61.48,250
