scenario,container,sample_count,avg_cpu_percent,avg_mem_percent
high,148e0df0f1ec,50,1.15,6.81
high,52a6f56b69db,50,12.35,9.71
high,6ed2d36740fc,50,40.17,2.22
high,7fa2ca4b9248,47,31.35,0.24
high,872dc7498c4c,2,144.82,0.42
high,9097845becb9,50,28.43,12.61
high,b70629ac2384,50,0.25,0.58
low,148e0df0f1ec,28,4.16,6.45
low,3e69adaece83,21,1.39,0.23
low,52a6f56b69db,28,9.25,7.5
low,6ed2d36740fc,28,0.72,0.7
low,872dc7498c4c,1,114.04,0.95
low,9097845becb9,28,29.99,4.71
low,b70629ac2384,28,0.47,0.58
medium,148e0df0f1ec,50,1.16,6.62
medium,3fee1113b794,47,7.95,0.23
medium,52a6f56b69db,50,7.24,9.45
medium,6ed2d36740fc,50,4.74,0.92
medium,872dc7498c4c,2,157.47,0.52
medium,9097845becb9,50,22.4,9.92
medium,b70629ac2384,50,0.27,0.58
