query,window,scenario,type,elapsed_ms
01-last-5-minutes,5min,low,243.91
02-last-1-hour,1h,low,251.41
03-last-24-hours,24h,low,242.88
10-cagg-last-5-minutes,5min,low,238.49
11-cagg-last-1-hour,1h,low,242.01
12-cagg-last-24-hours,24h,low,245.2
01-last-5-minutes,5min,medium,288.47
02-last-1-hour,1h,medium,307.71
03-last-24-hours,24h,medium,316.18
10-cagg-last-5-minutes,5min,medium,259.95
11-cagg-last-1-hour,1h,medium,274.93
12-cagg-last-24-hours,24h,medium,247.38
01-last-5-minutes,5min,high,378.08
02-last-1-hour,1h,high,457.19
03-last-24-hours,24h,high,912.08
10-cagg-last-5-minutes,5min,high,271.38
11-cagg-last-1-hour,1h,high,243.45
12-cagg-last-24-hours,24h,high,234.97
