minute,scenario,events,avg_latency_ms,p95_latency_ms
2026-09-07 22:08:00+00,low,518,99.41,614.2499999999987
2026-09-07 22:09:00+00,low,600,20.39,16.049999999999955
2026-09-07 22:10:00+00,low,600,15.83,14.049999999999955
2026-09-07 22:11:00+00,low,600,20.86,14
2026-09-07 22:12:00+00,low,600,12.41,13
2026-09-07 22:13:00+00,low,82,12.35,13
2026-09-07 22:14:00+00,medium,5398,8.07,13
2026-09-07 22:15:00+00,medium,5999,8.88,13
2026-09-07 22:16:00+00,medium,6004,8.12,13
2026-09-07 22:17:00+00,medium,5997,7.80,13
2026-09-07 22:18:00+00,medium,5999,9.62,13
2026-09-07 22:19:00+00,medium,6002,7.85,13
2026-09-07 22:20:00+00,medium,6000,8.76,13
2026-09-07 22:21:00+00,medium,5999,8.35,13
2026-09-07 22:22:00+00,medium,5999,7.93,13
2026-09-07 22:23:00+00,medium,6001,8.09,13
2026-09-07 22:24:00+00,medium,602,8.09,13
2026-09-07 22:25:00+00,high,58156,57.48,236
2026-09-07 22:26:00+00,high,59950,62.03,246
2026-09-07 22:27:00+00,high,59831,60.15,248
2026-09-07 22:28:00+00,high,60054,62.71,251
2026-09-07 22:29:00+00,high,60176,68.34,252.25
2026-09-07 22:30:00+00,high,59805,63.02,257
2026-09-07 22:31:00+00,high,60044,60.19,246
2026-09-07 22:32:00+00,high,60040,61.91,253
2026-09-07 22:33:00+00,high,59986,53.40,229
2026-09-07 22:34:00+00,high,59997,60.85,245
2026-09-07 22:35:00+00,high,1961,59.29,229
