timestamp_utc,container,cpu_percent,memory_usage,memory_percent,net_io,block_io
2026-09-07T21:29:40.9293092Z,f0ca9beaee79,2.13%,705.6MiB / 7.669GiB,8.99%,25.4MB / 5.58MB,20.4MB / 44.6MB
2026-09-07T21:29:40.9293092Z,7015ccbd4117,0.03%,55.72MiB / 7.669GiB,0.71%,26.5kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:29:40.9293092Z,780cf24df99c,0.96%,592.7MiB / 7.669GiB,7.55%,23.5MB / 22.6MB,148MB / 66.8MB
2026-09-07T21:29:40.9293092Z,d6e0c9f9bb0e,0.01%,82.02MiB / 7.669GiB,1.04%,1.01MB / 163kB,69.7MB / 88.9MB
2026-09-07T21:29:40.9293092Z,4c260e843873,1.65%,443.2MiB / 7.669GiB,5.64%,4.58MB / 3.22MB,167MB / 8.92MB
2026-09-07T21:29:40.9293092Z,073447a3ba24,143.17%,7.832MiB / 7.669GiB,0.10%,2.36kB / 1.38kB,0B / 32.8kB
2026-09-07T21:29:54.7628926Z,f0ca9beaee79,1.64%,707.3MiB / 7.669GiB,9.01%,25.4MB / 5.61MB,20.4MB / 44.6MB
2026-09-07T21:29:54.7628926Z,7015ccbd4117,0.06%,55.43MiB / 7.669GiB,0.71%,26.6kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:29:54.7628926Z,073447a3ba24,198.42%,81.85MiB / 7.669GiB,1.04%,23.5kB / 12.1kB,0B / 295kB
2026-09-07T21:29:54.7628926Z,780cf24df99c,0.94%,593.2MiB / 7.669GiB,7.55%,23.6MB / 22.6MB,148MB / 66.8MB
2026-09-07T21:29:54.7628926Z,d6e0c9f9bb0e,0.01%,82.13MiB / 7.669GiB,1.05%,1.01MB / 163kB,69.7MB / 89MB
2026-09-07T21:29:54.7628926Z,4c260e843873,1.93%,444.3MiB / 7.669GiB,5.66%,4.6MB / 3.26MB,167MB / 9.08MB
2026-09-07T21:30:07.5833037Z,01a82ad532c5,7.01%,17.12MiB / 7.669GiB,0.22%,27.1kB / 131kB,0B / 0B
2026-09-07T21:30:07.5833037Z,f0ca9beaee79,18.05%,707.5MiB / 7.669GiB,9.01%,25.6MB / 5.86MB,20.4MB / 44.7MB
2026-09-07T21:30:07.5833037Z,7015ccbd4117,0.88%,54.51MiB / 7.669GiB,0.69%,26.8kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:30:07.5833037Z,780cf24df99c,5.86%,593.6MiB / 7.669GiB,7.56%,23.7MB / 22.6MB,148MB / 66.9MB
2026-09-07T21:30:07.5833037Z,d6e0c9f9bb0e,6.32%,82.66MiB / 7.669GiB,1.05%,1.1MB / 172kB,69.7MB / 89.3MB
2026-09-07T21:30:07.5833037Z,4c260e843873,55.33%,447.5MiB / 7.669GiB,5.70%,5MB / 3.53MB,167MB / 9.3MB
2026-09-07T21:30:20.3970700Z,01a82ad532c5,10.39%,17.95MiB / 7.669GiB,0.23%,114kB / 598kB,0B / 0B
2026-09-07T21:30:20.3970700Z,f0ca9beaee79,8.42%,773.2MiB / 7.669GiB,9.85%,26.5MB / 7.37MB,20.4MB / 44.7MB
2026-09-07T21:30:20.3970700Z,7015ccbd4117,0.05%,55.22MiB / 7.669GiB,0.70%,26.8kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:30:20.3970700Z,780cf24df99c,1.22%,593MiB / 7.669GiB,7.55%,23.7MB / 22.6MB,148MB / 66.9MB
2026-09-07T21:30:20.3970700Z,d6e0c9f9bb0e,5.07%,83.56MiB / 7.669GiB,1.06%,1.46MB / 210kB,69.7MB / 90.7MB
2026-09-07T21:30:20.3970700Z,4c260e843873,10.72%,449.7MiB / 7.669GiB,5.73%,6.44MB / 4.44MB,167MB / 9.46MB
2026-09-07T21:30:33.2992032Z,01a82ad532c5,9.40%,18.2MiB / 7.669GiB,0.23%,217kB / 1.15MB,0B / 0B
2026-09-07T21:30:33.2992032Z,f0ca9beaee79,10.81%,786.3MiB / 7.669GiB,10.01%,27.4MB / 8.67MB,20.4MB / 44.7MB
2026-09-07T21:30:33.2992032Z,7015ccbd4117,0.08%,54.96MiB / 7.669GiB,0.70%,26.8kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:30:33.2992032Z,780cf24df99c,2.22%,593.9MiB / 7.669GiB,7.56%,23.7MB / 22.6MB,148MB / 66.9MB
2026-09-07T21:30:33.2992032Z,d6e0c9f9bb0e,4.36%,83.82MiB / 7.669GiB,1.07%,1.83MB / 249kB,69.7MB / 92.1MB
2026-09-07T21:30:33.2992032Z,4c260e843873,19.19%,464.6MiB / 7.669GiB,5.92%,7.76MB / 5.26MB,167MB / 9.61MB
2026-09-07T21:30:46.1529630Z,01a82ad532c5,9.05%,17.49MiB / 7.669GiB,0.22%,311kB / 1.66MB,0B / 0B
2026-09-07T21:30:46.1529630Z,f0ca9beaee79,8.43%,778.7MiB / 7.669GiB,9.92%,28.2MB / 10MB,20.4MB / 44.7MB
2026-09-07T21:30:46.1529630Z,7015ccbd4117,0.07%,55.29MiB / 7.669GiB,0.70%,26.8kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:30:46.1529630Z,780cf24df99c,1.15%,592.2MiB / 7.669GiB,7.54%,23.8MB / 22.6MB,148MB / 66.9MB
2026-09-07T21:30:46.1529630Z,d6e0c9f9bb0e,5.85%,84.5MiB / 7.669GiB,1.08%,2.2MB / 289kB,69.7MB / 93.6MB
2026-09-07T21:30:46.1529630Z,4c260e843873,14.80%,496.7MiB / 7.669GiB,6.33%,9.28MB / 6.22MB,167MB / 9.79MB
2026-09-07T21:30:59.0142287Z,01a82ad532c5,9.68%,18.14MiB / 7.669GiB,0.23%,406kB / 2.17MB,0B / 0B
2026-09-07T21:30:59.0142287Z,f0ca9beaee79,7.51%,777.2MiB / 7.669GiB,9.90%,29.1MB / 11.3MB,20.4MB / 44.7MB
2026-09-07T21:30:59.0142287Z,7015ccbd4117,0.67%,55.87MiB / 7.669GiB,0.71%,26.8kB / 6.38kB,194MB / 23.5MB
2026-09-07T21:30:59.0142287Z,780cf24df99c,1.22%,591.9MiB / 7.669GiB,7.54%,23.8MB / 22.6MB,148MB / 66.9MB
